uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,conn_state,orig_ip_bytes,resp_ip_bytes,is_malicious,rtt,query,answers,TTLs,version,server_name,resumed,next_protocol,established,cert_chain_fuids,trans_depth,host,uri,request_body_len,response_body_len,status_code,status_msg,resp_fuids,fuid,tx_hosts,rx_hosts,source,analyzers,is_orig,seen_bytes,total_bytes,certificate.serial,certificate.issuer,certificate.key_alg,certificate.valid_duration
0,1,38746,2,443,1,0.203071,6,1400,1218,1,,46,43,58,0,32,1,1,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
61,1,59173,40,53,2,0.000873,6,64,80,1,0.000873,18,12,52,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
67,1,54044,28,443,1,60.056794,6,2000,5633,1,,46,43,58,1,18,0,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
221,1,57736,39,5228,1,0.063941,0,132,130,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
96,1,60756,35,443,1,282.353557,0,276,410,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
42,0,3,0,4,0,,0,576,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
202,1,54052,28,443,1,60.038283,6,5434,2392,1,,46,43,58,1,18,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
138,1,47828,7,8000,1,110.144505,2,1038,505,1,,46,43,58,3,43,2,2,2,20,1.0,0,8,0.0,0.0,101.0,2,18,70,18,2,2,2,2,,,12,5,2,
178,1,47814,7,8000,1,212.904819,6,1168,539,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,10,44,6,0,0,0,0,101.0,101.0,12,5,2,
199,1,47824,7,8000,1,187.822612,6,1168,539,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,0,2,6,0,0,0,0,101.0,101.0,12,5,2,
200,1,47826,7,8000,1,162.760059,6,1565,804,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,17,66,6,0,0,0,0,101.0,101.0,12,5,2,
200,1,47826,7,8000,1,162.760059,6,1565,804,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,17,57,6,0,0,0,0,5.0,5.0,12,5,2,
200,1,47826,7,8000,1,162.760059,6,1565,804,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,0.0,5.0,200.0,1,15,66,6,0,0,0,0,101.0,101.0,12,5,2,
